GeneID baseMean log2FoldChange lfcSE pvalue padj HGNC
67 ENSG00000187608 492.127243419761 1.682311131464 0.320527419512361 5.8321981723016e-09 9.65041404451754e-08 ISG15
84 ENSG00000186891 32.1946325522215 2.34356035953487 0.337477842114022 1.75958609898784e-13 9.20693232614778e-12 TNFRSF18
89 ENSG00000260179 6.02290416384865 -1.5758126350001 0.367901750929647 7.12254714762555e-07 6.88653652738473e-06 AL162741.1
124 ENSG00000228594 31.3313417370417 1.77686188973908 0.408730202514417 4.83646537449344e-07 4.91244306584362e-06 FNDC10
127 ENSG00000189409 11.590020192226 2.94367971512376 0.505543421752739 9.82217701367896e-11 2.60216772616906e-09 MMP23B
142 ENSG00000142609 1.92513076174833 1.71013547151804 0.95489406846753 0.00210657164785374 0.00742065332426481 CFAP74
191 ENSG00000078900 10.5411407338056 2.58291135486427 0.491775851585364 3.95845493823037e-09 6.84313817766868e-08 TP73
234 ENSG00000225077 16.7491749506928 2.3706868229725 0.596410866555164 1.56048563779166e-06 1.37805341190543e-05 LINC00337
236 ENSG00000158292 237.069456354832 2.18771953073828 0.366769048645972 1.05084618635751e-10 2.77147699499895e-09 GPR153
239 ENSG00000069812 1.20265689861935 1.64959817801737 0.973404042726852 0.00281689971256788 0.00947379401497682 HES2
248 ENSG00000173662 9.37891241721387 1.97195873979776 0.497260487016018 2.2246912573076e-06 1.88303307863343e-05 TAS1R1
272 ENSG00000049249 21.3030868828612 4.40162406611271 0.672584118564158 2.67315488139261e-13 1.32771215547206e-11 TNFRSF9
277 ENSG00000284716 11.7586860883792 -1.94772896854572 0.443936601896461 3.82899668315229e-07 3.98427396799902e-06 AL034417.3
319 ENSG00000235263 16.8987790761093 -2.00177410369838 0.476749107426811 8.43324162421146e-07 7.99319905189225e-06 AL928921.1
372 ENSG00000230337 3.03240354623455 1.62222396121472 0.640485822194527 0.000417502516148516 0.00183001206311185 EXOSC10-AS1
391 ENSG00000162490 7.80180186330015 2.14377634190852 0.589150545555934 6.7345123955368e-06 4.99835339718299e-05 DRAXIN
393 ENSG00000215910 286.316519840789 2.30253234287941 0.37488013270235 3.42703280201638e-11 1.02336847274048e-09 C1orf167
433 ENSG00000157330 11.8579813296472 3.36783670972714 1.32093702247828 2.95590868032254e-05 0.000183441317975027 C1orf158
510 ENSG00000271742 2.65637897446161 -2.69404385797241 0.59457679676804 1.08722461193364e-07 1.30416658587574e-06 AL121992.2
542 ENSG00000233929 7.40792058339146 -2.33715938858586 0.485644986449487 4.4992971565846e-08 5.92784419813216e-07 MT1XP1
557 ENSG00000219481 222.076237028618 1.50092568641522 0.234828785477745 6.63832380789023e-12 2.37635801288792e-10 NBPF1
605 ENSG00000179023 2.3400958180371 2.22256546431749 1.25222372745253 0.000782480874184004 0.00316638317904566 KLHDC7A
613 ENSG00000169991 507.34135883337 -1.69788183339107 0.267960459494997 9.4244976524922e-12 3.22056698592847e-10 IFFO2
614 ENSG00000272084 32.4422067242434 -2.04592505415491 0.266953126421477 9.55713014791082e-16 9.2587458205206e-14 AL137127.1
636 ENSG00000235434 1.74744660602189 2.22224888163491 1.12336502014233 0.000573766350863136 0.00242091957211966 AL391883.1
642 ENSG00000117215 71.2017025573401 6.54889319901789 0.819043908275631 3.38523609901785e-18 6.62468136337132e-16 PLA2G2D
646 ENSG00000225986 2.19047260257218 1.93338882860111 0.832992339443556 0.00045628044583755 0.00197984570689068 UBXN10-AS1
650 ENSG00000158816 5.55201414942908 3.55774991218498 0.850766853059001 1.561093124149e-07 1.79211292789479e-06 VWA5B1
659 ENSG00000183114 68.7856075059715 2.2088193347726 0.427812569908364 8.75662356666899e-09 1.38866519814155e-07 FAM43B
667 ENSG00000189410 3.64740997067752 -2.26759590143913 0.49008472858882 1.11939886073142e-07 1.33626816420944e-06 SH2D5
719 ENSG00000173372 1683.48309248427 2.76971878621923 0.419024031239467 9.63333633637756e-13 4.29100083183652e-11 C1QA
720 ENSG00000159189 1264.33684072535 2.82294220454168 0.434679692498742 1.88116111486151e-12 7.76647023426788e-11 C1QC
721 ENSG00000173369 1250.49286902681 2.84892015633314 0.455788527074495 8.58870686450446e-12 2.96603413294899e-10 C1QB
722 ENSG00000133216 68.9672928016521 2.26230665137009 0.431948864371644 5.80490527735167e-09 9.61609421621789e-08 EPHB2
749 ENSG00000235052 2.32273440337866 -1.86869203262372 0.464591790113869 1.87139313109316e-06 1.61996089560922e-05 AL021154.1
782 ENSG00000184454 4.60784382185879 2.75983854333541 1.31985877940858 0.000181982341774005 0.000884129371141036 NCMAP
787 ENSG00000169504 2906.72249531792 1.76132647825208 0.251910631840071 1.15340748350614e-13 6.37610607737084e-12 CLIC4
789 ENSG00000020633 213.737320769353 2.39465297790006 0.375536347127512 7.38907986344034e-12 2.61639385176632e-10 RUNX3
824 ENSG00000117632 831.422232901497 1.90253965384388 0.243328967742515 2.63121824929408e-16 2.99367366239451e-14 STMN1
832 ENSG00000158008 951.530226755907 1.69620775031078 0.511000685647637 3.09731510539953e-05 0.000191286740172308 EXTL1
833 ENSG00000158014 115.572951294533 -1.87258269153263 0.460896161050556 1.57969814832973e-06 1.39334313239396e-05 SLC30A2
